numero_boletim;data hora_boletim;data_inclusao;tipo_acidente;desc_tipo_acidente;cod_tempo;desc_tempo;cod_pavimento;pavimento;cod_regional;desc_regional;origem_boletim;local_sinalizado;velocidade_permitida;coordenada_x;coordenada_y;hora_informada;indicador_fatalidade;valor_ups;descricao_ups;data_alteracao_smsa;valor_ups_antiga;descricao_ups_antiga;ano;mes;lat;lon;bairro
1752156;25/01/2016 00:44;24/06/2016 00:00; H99002;OUTROS COM VITIMA                                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;24;OESTE          ;PMMG           ;NÃO INFORMADO;0;608218.75;7797003.01;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;01;-43.96601828935356;-19.920322780996703;Prado
1978790;27/01/2016 13:26;25/07/2016 00:00; H04000;QUEDA DE PESSOA DE VEICULO                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;25;PAMPULHA       ;PMMG           ;NÃO INFORMADO;0;606338.3;7805086.63;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;01;-43.9844486221596;-19.84738778443354;Jardim Atlântico
2225187;30/01/2016 16:43;29/07/2016 00:00; H04000;QUEDA DE PESSOA DE VEICULO                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;PMMG           ;NÃO INFORMADO;0;611448.69;7795041.02;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;01;-43.93504282242525;-19.93786760176923;Carmo
2417588;25/01/2016 21:25;27/07/2016 00:00; H04000;QUEDA DE PESSOA DE VEICULO                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;18;BARREIRO       ;PMMG           ;NÃO INFORMADO;0;600662.98;7789295.62;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;01;-44.037780321465114;-19.990367699719005;Tirol
2758633;05/02/2016 21:04;29/07/2016 00:00; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;20;LESTE          ;PMMG           ;NÃO INFORMADO;0;613799.22;7798323.68;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.91278795186866;-19.90807229662325;Horto
2922541;07/02/2016 23:30;29/07/2016 00:00; H04000;QUEDA DE PESSOA DE VEICULO                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;PMMG           ;NÃO INFORMADO;0;611493.49;7797271.24;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.93474983107558;-19.917714570260177;Barreiro de Cima
3070095;31/01/2016 12:40;26/07/2016 00:00; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;18;BARREIRO       ;POLICIA CIVIL  ;NÃO INFORMADO;0;601324.73;7787889.04;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;01;-44.031377715564616;-20.00304226016478;Santa Cecília (Vale do Jatobá)
3134828;03/02/2016 15:40;01/08/2016 00:00; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;PMMG           ;NÃO INFORMADO;0;609079.09;7796147.86;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.957748490024294;-19.92800129475038;Prado
3199115;09/02/2016 01:48;12/08/2016 00:00; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;25;PAMPULHA       ;CORPO DE BOMBEI;NÃO INFORMADO;0;608977.23;7803670.96;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.95916598748128;-19.86003355885368;Jardim Liberdade
3262518;30/01/2016 05:50;26/07/2016 00:00; H09002;COLISAO DE VEICULOS COM VITIMA                    ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;26;VENDA NOVA     ;POLICIA CIVIL  ;NÃO INFORMADO;0;609144.9;7808859.38;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;01;-43.957870630421006;-19.813145004027763;Venda Nova
3519199;12/02/2016 18:45;03/08/2016 00:00; H09002;COLISAO DE VEICULOS COM VITIMA                    ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;25;PAMPULHA       ;POLICIA CIVIL  ;NÃO INFORMADO;0;608140.72;7804338.5;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.96719350038601;-19.854048566873963;São Luiz (Pampulha)
3577164;16/02/2016 17:23;03/08/2016 00:00; H04000;QUEDA DE PESSOA DE VEICULO                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;22;NOROESTE       ;PMMG           ;NÃO INFORMADO;0;606148.15;7795783.08;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.98572928575302;-19.931459208223636;Gameleira
3617810;13/02/2016 19:00;03/08/2016 00:00; H02002;CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;23;NORTE          ;POLICIA CIVIL  ;NÃO INFORMADO;0;612614.18;7810176.38;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.92482975141351;-19.801049189926285;Conjunto Zilah Spósito
3626786;17/02/2016 12:00;17/08/2016 00:00; H02002;CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;26;VENDA NOVA     ;PMMG           ;NÃO INFORMADO;0;605855.03;7811151.6;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.989409803150195;-19.79261422569433;Mantiqueira
3715271;14/02/2016 16:40;17/08/2016 00:00; H99002;OUTROS COM VITIMA                                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;18;BARREIRO       ;POLICIA CIVIL  ;NÃO INFORMADO;0;607855.76;7788119.67;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.9689646890244;-20.00060618950765;Pilar
3793580;19/02/2016 07:59;04/08/2016 00:00; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;25;PAMPULHA       ;PMMG           ;NÃO INFORMADO;0;608253.34;7806895.62;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.966267606032474;-19.830937808988953;Santa Branca
3911248;20/02/2016 19:59;04/08/2016 00:00; H04000;QUEDA DE PESSOA DE VEICULO                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;18;BARREIRO       ;PMMG           ;NÃO INFORMADO;0;602956.3;7791018.81;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-44.015957946014424;-19.974677716709774;Barreiro
3922614;20/02/2016 23:37;04/08/2016 00:00; H99002;OUTROS COM VITIMA                                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;26;VENDA NOVA     ;PMMG           ;NÃO INFORMADO;0;607852.08;7810524.46;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.970309951362005;-19.798171906335995;Europa
3988969;20/02/2016 00:38;05/08/2016 00:00; H08002;CHOQUE MECANICO COM VITIMA                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;25;PAMPULHA       ;CORPO DE BOMBEI;NÃO INFORMADO;0;616886.54;7803419.11;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.88361914114551;-19.861851974621416;Vitória
4000370;22/02/2016 06:49;05/08/2016 00:00; H09002;COLISAO DE VEICULOS COM VITIMA                    ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;22;NOROESTE       ;PMMG           ;NÃO INFORMADO;0;603042.67;7794533.42;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-44.01532958274362;-19.9429172686112;Camargos
4002171;22/02/2016 11:03;05/08/2016 00:00; H04000;QUEDA DE PESSOA DE VEICULO                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;PMMG           ;NÃO INFORMADO;0;612318.37;7796573.58;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.92682711220024;-19.92397066535173;Santa Efigênia
4057760;22/02/2016 19:36;08/08/2016 00:00; H99002;OUTROS COM VITIMA                                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;PMMG           ;NÃO INFORMADO;0;613128.44;7797034.09;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.919116412749986;-19.91976299723503;Santa Efigênia
4084328;18/02/2016 12:59;17/08/2016 00:00; H02002;CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;22;NOROESTE       ;CORPO DE BOMBEI;NÃO INFORMADO;0;603847.05;7796296.55;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-44.007743310729516;-19.926943924127894;Conjunto Califórnia
4203558;22/02/2016 20:50;08/08/2016 00:00; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;23;NORTE          ;PMMG           ;NÃO INFORMADO;0;610532.2;7807671.28;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.94455533299192;-19.823802103791664;Vila Cloris
4250404;25/02/2016 02:11;08/08/2016 00:00; H08002;CHOQUE MECANICO COM VITIMA                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;20;LESTE          ;PMMG           ;NÃO INFORMADO;0;612023.28;7798885.19;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.9297867673882;-19.903101823910447;Graça
4261880;25/02/2016 08:00;08/08/2016 00:00; H08002;CHOQUE MECANICO COM VITIMA                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;18;BARREIRO       ;PMMG           ;NÃO INFORMADO;0;602848.23;7789289.77;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-44.01689384983413;-19.990305957831914;Santa Cruz (Barreiro)
4272969;19/02/2016 22:30;18/08/2016 00:00; H02002;CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;24;OESTE          ;POLICIA CIVIL  ;NÃO INFORMADO;0;609384.51;7791649.5;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.954562997459284;-19.968627873298843;Estoril
4291244;23/02/2016 11:00;09/08/2016 00:00; H99002;OUTROS COM VITIMA                                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;21;NORDESTE       ;POLICIA CIVIL  ;NÃO INFORMADO;0;614284.01;7804777.08;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.908556358586786;-19.849736412264367;Dom Silvério
4314266;25/02/2016 18:33;09/08/2016 00:00; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;20;LESTE          ;PMMG           ;NÃO INFORMADO;0;616138.73;7798309.31;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.89043899759232;-19.908064131706762;Vera Cruz
4322485;25/02/2016 21:42;08/08/2016 00:00; H09002;COLISAO DE VEICULOS COM VITIMA                    ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;23;NORTE          ;PMMG           ;NÃO INFORMADO;0;610951.74;7806632.1;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.94048751847543;-19.833167688318852;Santa Isabel
4347883;24/02/2016 05:30;18/08/2016 00:00; H99002;OUTROS COM VITIMA                                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;23;NORTE          ;POLICIA CIVIL  ;NÃO INFORMADO;0;608161.69;7809262.16;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.96728079369754;-19.809560252129316;Candelária
4805555;02/03/2016 22:55;23/08/2016 00:00; H04000;QUEDA DE PESSOA DE VEICULO                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;23;NORTE          ;PMMG           ;NÃO INFORMADO;0;611525.61;7805670.27;SIM;SIM;13;ACIDENTE COM VÍTIMA FATAL;00/00/0000;0;NÃO INFORMADO;2016;03;-43.9349502235509;-19.84182547643818;Heliópolis
4998780;04/03/2016 09:15;24/08/2016 00:00; H04000;QUEDA DE PESSOA DE VEICULO                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;PMMG           ;NÃO INFORMADO;0;609718.0;7796323.26;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;03;-43.95165491330726;-19.926380613063575;Barro Preto
5121717;02/03/2016 14:30;24/08/2016 00:00; H99002;OUTROS COM VITIMA                                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;25;PAMPULHA       ;POLICIA CIVIL  ;NÃO INFORMADO;0;605155.36;7807352.09;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;03;-43.995873294703614;-19.826982284535298;Céu Azul
5171348;04/03/2016 11:40;25/08/2016 00:00; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;24;OESTE          ;POLICIA CIVIL  ;NÃO INFORMADO;0;608138.14;7795864.74;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;03;-43.966721547333776;-19.930611854382555;Barroca
5298124;21/02/2016 11:40;19/08/2016 00:00; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;26;VENDA NOVA     ;POLICIA CIVIL  ;NÃO INFORMADO;0;609564.3;7810458.69;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.9539611058131;-19.798671234658897;Serra Verde (Venda Nova)
5347326;09/03/2016 09:20;26/08/2016 00:00; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;PMMG           ;NÃO INFORMADO;0;613509.83;7796746.83;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;03;-43.91545521494254;-19.922336243765727;Santa Efigênia
5442583;10/03/2016 18:52;26/08/2016 00:00; H04000;QUEDA DE PESSOA DE VEICULO                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;23;NORTE          ;PMMG           ;NÃO INFORMADO;0;611195.73;7810048.71;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;03;-43.93836283306339;-19.80228369719259;Jacqueline
5446161;10/03/2016 20:59;26/08/2016 00:00; H04000;QUEDA DE PESSOA DE VEICULO                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;21;NORDESTE       ;PMMG           ;NÃO INFORMADO;0;615187.83;7803424.74;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;03;-43.89984158393241;-19.861901984693294;Goiânia
5489953;04/03/2016 14:30;29/08/2016 00:00; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;POLICIA CIVIL  ;NÃO INFORMADO;0;612861.85;7794511.75;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;03;-43.92150856670872;-19.94256818104897;Serra
5508256;24/02/2016 12:30;25/08/2016 00:00; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;18;BARREIRO       ;POLICIA CIVIL  ;NÃO INFORMADO;0;603483.3;7790276.77;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-44.010879681487886;-19.98135430246503;Santa Maria Goretti
5517796;11/03/2016 16:43;29/08/2016 00:00; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;24;OESTE          ;PMMG           ;NÃO INFORMADO;0;608861.18;7797154.93;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;03;-43.95988988955996;-19.91891434240504;Prado
5711594;19/01/2016 10:30;25/08/2016 00:00; H02002;CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;18;BARREIRO       ;POLICIA CIVIL  ;NÃO INFORMADO;0;603463.37;7788033.62;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;01;-44.01094362292121;-20.001622996260963;Urucuia
5765505;21/02/2016 22:00;26/08/2016 00:00; H99002;OUTROS COM VITIMA                                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;26;VENDA NOVA     ;POLICIA CIVIL  ;NÃO INFORMADO;0;607959.88;7810256.59;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;02;-43.969265299064;-19.800586292286724;Europa
5808296;15/03/2016 15:01;30/08/2016 00:00; H99002;OUTROS COM VITIMA                                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;21;NORDESTE       ;PMMG           ;NÃO INFORMADO;0;617048.88;7803994.39;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;03;-43.88210527299265;-19.856644543142302;Jardim Vitória
5875591;07/03/2016 15:00;30/08/2016 00:00; H02002;CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;18;BARREIRO       ;POLICIA CIVIL  ;NÃO INFORMADO;0;600792.54;7786407.19;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;03;-44.03638316881201;-20.01645909566661;Vila das Antenas
6229760;14/03/2016 19:00;01/09/2016 00:00; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;22;NOROESTE       ;POLICIA CIVIL  ;NÃO INFORMADO;0;609678.71;7798777.33;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;03;-43.95217634736306;-19.904209677700152;Santo André
6257532;21/03/2016 13:05;01/09/2016 00:00; H04000;QUEDA DE PESSOA DE VEICULO                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;POLICIA CIVIL  ;NÃO INFORMADO;0;610587.52;7796872.25;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;03;-43.94338074855077;-19.92137117638438;Centro
6439496;10/03/2016 11:00;02/09/2016 00:00; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;22;NOROESTE       ;POLICIA CIVIL  ;NÃO INFORMADO;0;606538.63;7802620.56;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;03;-43.982393566877334;-19.86965880824157;Ouro Preto
7142930;01/04/2016 16:30;20/09/2016 00:00; H09002;COLISAO DE VEICULOS COM VITIMA                    ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;23;NORTE          ;POLICIA CIVIL  ;NÃO INFORMADO;0;609710.95;7804465.22;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;04;-43.9522062710054;-19.852816114378527;Pampulha
7227994;02/04/2016 16:38;06/09/2016 00:00; H04000;QUEDA DE PESSOA DE VEICULO                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;23;NORTE          ;PMMG           ;NÃO INFORMADO;0;609594.42;7808238.13;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;04;-43.953542363513655;-19.818733127143297;Ana Lúcia (Venda Nova)
7254668;03/04/2016 00:00;06/09/2016 00:00; H99002;OUTROS COM VITIMA                                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;PMMG           ;NÃO INFORMADO;0;610805.82;7796614.03;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;04;-43.94127971157606;-19.923691842662837;Centro
7274719;02/04/2016 23:54;20/09/2016 00:00; H08002;CHOQUE MECANICO COM VITIMA                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;22;NOROESTE       ;PMMG           ;NÃO INFORMADO;0;609920.01;7798763.9;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;04;-43.94987055850564;-19.9043174305405;São Cristóvão
7344104;04/04/2016 12:43;06/09/2016 00:00; H04000;QUEDA DE PESSOA DE VEICULO                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;26;VENDA NOVA     ;PMMG           ;NÃO INFORMADO;0;605702.98;7807606.61;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2016;04;-43.990659206292946;-19.82465308855675;Parque Leblon
